time,x,z,vx,vz,theta,omega,delta,T_cmd,delta_d
0.026,3.47249958424931e-05,4.81600072871972e-05,0.00324182084360763,0.00342210386222352,0.000667266390030321,0.0358070220000867,-0.0300398408548983,2.85394218556853,-0.115429778487874
0.028,4.30728159352947e-05,5.31019144017099e-05,0.00388257757384263,0.00335753952662866,0.000705088245516409,0.0286398763415728,-0.0341794254466711,2.91054331047066,-0.118994320343414
0.03,5.29945173135206e-05,5.70308264456767e-05,0.0046054646413919,0.00315333591611594,0.000724613225839459,0.0197731560928618,-0.0384559097193655,2.96443908119737,-0.122390799712588
0.032,6.46426857609284e-05,5.97087932287216e-05,0.00541572565954371,0.00279093097839399,0.000722567851062932,0.00915041867780602,-0.0428444213919392,3.01550584896588,-0.125611489153965
0.034,7.81699070612756e-05,6.08978645604684e-05,0.0063186042415863,0.00225176266117146,0.000695678641250288,-0.0032847784797421,-0.0473200881833497,3.06361996499342,-0.128648661226113
0.036,9.37287669983196e-05,6.03600902505409e-05,0.0073193440008079,0.00151726891215699,0.00064067211646499,-0.0175888779559302,-0.0518580378125546,3.1086577804972,-0.131494588487601
0.038,0.000111471851355818,5.7857520108563e-05,0.00842318855049678,0.000568887679059219,0.000554274796770496,-0.0338183223269059,-0.0564333979985116,3.15049564669444,-0.134141543496998
0.04,0.000131551745917529,5.31522039441587e-05,0.00963538150394117,-0.000611943090413214,0.000433213202230269,-0.0520295541688169,-0.0610212964601783,3.18900991480237,-0.136581798812872
0.042,0.000154136805909454,4.59682129420805e-05,0.0109605272069091,-0.00203973806463456,0.000274096801664553,-0.0722668657425174,-0.0655986517311487,3.2240769360382,-0.138807626993792
0.044,0.000179458464326577,3.58777037875962e-05,0.0124006729350875,-0.00371282237631063,7.30668589207266e-05,-0.094525948047688,-0.0701495456035624,3.25557306161915,-0.140811300598328
0.046,0.000207763923606125,2.24148545411023e-05,0.0139572266966433,-0.00562547377423013,-0.00017385241339705,-0.118790341768716,-0.0746598506841955,3.28337464276244,-0.142585092185046
0.048,0.000239300386185326,5.1138432629954e-06,0.0156315964997431,-0.00777197000718178,-0.000470636802684614,-0.145043587589989,-0.0791154395798239,3.30735803068528,-0.144121274312517
0.05,0.000274315054501408,-1.64911519863281e-05,0.0174251903525538,-0.0101465888239543,-0.000821262096337805,-0.173269226195894,-0.0835021848972236,3.32740668912722,-0.145412277264836
0.052,0.0003130551309916,-4.28659531464714e-05,0.0193394162632421,-0.0127436079733363,-0.00122970408175246,-0.203450798270819,-0.0878059592431707,3.34356766984108,-0.146454159013213
0.054,0.000355767818093128,-7.44763821570384e-05,0.0213756822399748,-0.0155573052041166,-0.00169993854632442,-0.23557184449915,-0.0920126352244412,3.35605161259294,-0.147246605215975
0.056,0.000402700318243221,-0.000111788260957632,0.0235353962909187,-0.0185819582650839,-0.00223594127744951,-0.269615905565276,-0.096108085447811,3.36507626967123,-0.147789459256976
0.058,0.000454099833879106,-0.000155267411487857,0.0258199664242406,-0.0218118449050268,-0.00284168806252359,-0.305566522153583,-0.100078182520056,3.37085939336436,-0.148082564520067
0.06,0.000510213567438012,-0.000205379655687315,0.0282308006481072,-0.0252412428727341,-0.00352115468894248,-0.343407234948458,-0.103908799047953,3.37361873596074,-0.148125764389102
0.062,0.000571285119369455,-0.000262556938728954,0.0307686029273571,-0.0288633938891973,-0.00427812280631178,-0.383109008092016,-0.107586873206676,3.37357204974879,-0.147918902247935
0.064,0.000637543682172104,-0.000327095698719096,0.0334312610535162,-0.0326673955642191,-0.00511559751307604,-0.424592499557274,-0.111103605444994,3.37093708701693,-0.147461821480419
0.066,0.000709214846356917,-0.000399258496997408,0.0362159587747825,-0.0366413094798049,-0.00603638976988955,-0.467765790774976,-0.114451261780077,3.36593160005356,-0.146754365470405
0.068,0.000786524202434851,-0.000479307894903555,0.0391198798393535,-0.0407731972179603,-0.00704331053740664,-0.512536963175865,-0.117622108229093,3.35877334114711,-0.145796377601749
0.07,0.000869697340916865,-0.000567506453777202,0.0421402079954271,-0.0450511203606906,-0.0081391707762816,-0.558814098190686,-0.12060841080921,3.34968028531088,-0.144587773267108
0.072,0.000958959852313916,-0.000664116734958015,0.0452741269912011,-0.0494631404900015,-0.00932678144716872,-0.606505277250182,-0.123402435537597,3.33887553023063,-0.143130124061677
0.074,0.00105453732713696,-0.000769401299785662,0.0485188205748733,-0.0539973191878984,-0.0106089535107223,-0.655518581785097,-0.125996448431423,3.32658729626458,-0.141426657783186
0.076,0.00115665535589696,-0.000883622709599807,0.0518714724946414,-0.0586417180363868,-0.0119884979275967,-0.705762093226176,-0.128382715507855,3.31304402649585,-0.13948067423817
0.078,0.00126553952910487,-0.00100704352574012,0.0553292664987032,-0.0633843986174722,-0.0134682256584462,-0.757143893004161,-0.130553502784062,3.29847416400755,-0.137295473233165
0.08,0.00138141543727165,-0.00113992630954626,0.0588893863352564,-0.06821342251316,-0.015050947663925,-0.809572062549798,-0.132501076277214,3.28310615188279,-0.134874354574706
0.082,0.00150449656778348,-0.00128250001715788,0.0625487105652771,-0.073117351226568,-0.0167391264677101,-0.86295011717387,-0.134218693712283,3.26716843320469,-0.132220618069329
0.084,0.00163494799552749,-0.00143485918391461,0.0663028970008536,-0.0780867459452632,-0.0185338308455679,-0.917163307707333,-0.135703579645468,3.25088945105635,-0.12933756352357
0.086,0.00177292269226601,-0.00159706473995603,0.0701472982668528,-0.0831126677779246,-0.0204357811362877,-0.972092318861179,-0.13695395034077,3.23449764852089,-0.126228490743964
